Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  89, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.245, TAw acc= 65.0% |
| Epoch  90, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.263, TAw acc= 65.7% |
| Epoch  91, time=  2.6s | Train: skip eval | Valid: time=  0.8s loss=1.272, TAw acc= 65.5% |
| Epoch  92, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=1.269, TAw acc= 65.7% |
| Epoch  93, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.277, TAw acc= 64.4% |
| Epoch  94, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.255, TAw acc= 68.2% |
| Epoch  95, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.274, TAw acc= 65.9% |
| Epoch  96, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=1.251, TAw acc= 66.9% |
| Epoch  97, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.302, TAw acc= 65.9% |
| Epoch  98, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=1.246, TAw acc= 67.0% |
| Epoch  99, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=1.262, TAw acc= 65.7% |
| Epoch 100, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.247, TAw acc= 66.9% |
| Epoch 101, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.278, TAw acc= 66.1% |
| Epoch 102, time=  2.7s | Train: skip eval | Valid: time=  0.8s loss=1.299, TAw acc= 65.7% |
| Epoch 103, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.287, TAw acc= 65.5% |
| Epoch 104, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.283, TAw acc= 66.5% |
| Epoch 105, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=1.252, TAw acc= 67.6% |
| Epoch 106, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=1.327, TAw acc= 64.4% |
| Epoch 107, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=1.284, TAw acc= 66.9% |
| Epoch 108, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.329, TAw acc= 65.7% |
| Epoch 109, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=1.258, TAw acc= 65.9% |
| Epoch 110, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.283, TAw acc= 67.6% |
| Epoch 111, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.278, TAw acc= 66.9% |
| Epoch 112, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.292, TAw acc= 66.1% |
| Epoch 113, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.296, TAw acc= 68.0% |
| Epoch 114, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.304, TAw acc= 65.7% |
| Epoch 115, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=1.260, TAw acc= 67.6% |
| Epoch 116, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.285, TAw acc= 66.9% |
| Epoch 117, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.325, TAw acc= 65.9% |
| Epoch 118, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=1.303, TAw acc= 66.9% |
| Epoch 119, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.291, TAw acc= 67.8% |
| Epoch 120, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.297, TAw acc= 66.5% | lr=1.0e-03
| Epoch 121, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.299, TAw acc= 65.9% |
| Epoch 122, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.272, TAw acc= 66.3% |
| Epoch 123, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=1.284, TAw acc= 66.1% |
| Epoch 124, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.276, TAw acc= 66.9% |
| Epoch 125, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.266, TAw acc= 66.3% |
| Epoch 126, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.265, TAw acc= 67.4% |
| Epoch 127, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=1.259, TAw acc= 67.0% |
| Epoch 128, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.262, TAw acc= 67.2% |
| Epoch 129, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.268, TAw acc= 67.6% |
| Epoch 130, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=1.272, TAw acc= 67.2% |
| Epoch 131, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.253, TAw acc= 68.2% |
| Epoch 132, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.278, TAw acc= 67.0% |
| Epoch 133, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.279, TAw acc= 68.0% |
