Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch 118, time= 12.4s | Train: skip eval | Valid: time=  1.9s loss=0.949, TAw acc= 73.3% |
| Epoch 119, time= 13.3s | Train: skip eval | Valid: time=  2.1s loss=0.965, TAw acc= 73.0% |
| Epoch 120, time= 13.0s | Train: skip eval | Valid: time=  2.0s loss=0.967, TAw acc= 72.4% | lr=1.0e-03
| Epoch 121, time= 13.1s | Train: skip eval | Valid: time=  1.8s loss=0.856, TAw acc= 75.2% | *
| Epoch 122, time= 12.6s | Train: skip eval | Valid: time=  1.7s loss=0.842, TAw acc= 76.0% | *
| Epoch 123, time= 12.4s | Train: skip eval | Valid: time=  1.8s loss=0.835, TAw acc= 75.9% | *
| Epoch 124, time= 12.4s | Train: skip eval | Valid: time=  1.9s loss=0.842, TAw acc= 76.0% |
| Epoch 125, time= 13.3s | Train: skip eval | Valid: time=  2.4s loss=0.836, TAw acc= 76.4% |
| Epoch 126, time= 12.6s | Train: skip eval | Valid: time=  1.8s loss=0.826, TAw acc= 76.3% | *
| Epoch 127, time= 12.4s | Train: skip eval | Valid: time=  1.8s loss=0.836, TAw acc= 76.2% |
| Epoch 128, time= 12.6s | Train: skip eval | Valid: time=  2.1s loss=0.827, TAw acc= 76.2% |
| Epoch 129, time= 13.0s | Train: skip eval | Valid: time=  1.6s loss=0.830, TAw acc= 76.6% |
| Epoch 130, time= 12.6s | Train: skip eval | Valid: time=  1.7s loss=0.828, TAw acc= 76.3% |
| Epoch 131, time= 12.3s | Train: skip eval | Valid: time=  1.5s loss=0.834, TAw acc= 76.1% |
| Epoch 132, time= 12.3s | Train: skip eval | Valid: time=  1.8s loss=0.831, TAw acc= 76.5% |
| Epoch 133, time= 12.4s | Train: skip eval | Valid: time=  2.0s loss=0.826, TAw acc= 76.6% | *
| Epoch 134, time= 12.4s | Train: skip eval | Valid: time=  2.0s loss=0.840, TAw acc= 76.2% |
| Epoch 135, time= 12.6s | Train: skip eval | Valid: time=  1.8s loss=0.831, TAw acc= 76.2% |
| Epoch 136, time= 13.2s | Train: skip eval | Valid: time=  2.0s loss=0.835, TAw acc= 76.2% |
| Epoch 137, time= 12.7s | Train: skip eval | Valid: time=  2.0s loss=0.830, TAw acc= 76.3% |
| Epoch 138, time= 12.7s | Train: skip eval | Valid: time=  1.8s loss=0.825, TAw acc= 76.8% | *
| Epoch 139, time= 12.3s | Train: skip eval | Valid: time=  1.5s loss=0.842, TAw acc= 76.0% |
| Epoch 140, time= 12.3s | Train: skip eval | Valid: time=  2.1s loss=0.829, TAw acc= 76.8% |
| Epoch 141, time= 12.1s | Train: skip eval | Valid: time=  1.5s loss=0.826, TAw acc= 77.2% |
| Epoch 142, time= 12.5s | Train: skip eval | Valid: time=  2.1s loss=0.829, TAw acc= 76.4% |
| Epoch 143, time= 13.0s | Train: skip eval | Valid: time=  1.9s loss=0.822, TAw acc= 76.9% | *
| Epoch 144, time= 12.9s | Train: skip eval | Valid: time=  1.9s loss=0.837, TAw acc= 76.5% |
| Epoch 145, time= 12.3s | Train: skip eval | Valid: time=  2.2s loss=0.840, TAw acc= 76.2% |
| Epoch 146, time= 13.3s | Train: skip eval | Valid: time=  2.1s loss=0.829, TAw acc= 76.0% |
| Epoch 147, time= 12.6s | Train: skip eval | Valid: time=  1.6s loss=0.833, TAw acc= 76.5% |
| Epoch 148, time= 12.6s | Train: skip eval | Valid: time=  1.8s loss=0.827, TAw acc= 77.0% |
| Epoch 149, time= 12.5s | Train: skip eval | Valid: time=  1.7s loss=0.832, TAw acc= 76.6% |
| Epoch 150, time= 12.4s | Train: skip eval | Valid: time=  2.2s loss=0.827, TAw acc= 77.0% |
| Epoch 151, time= 13.0s | Train: skip eval | Valid: time=  1.8s loss=0.829, TAw acc= 76.7% |
| Epoch 152, time= 12.7s | Train: skip eval | Valid: time=  1.7s loss=0.821, TAw acc= 77.0% | *
| Epoch 153, time= 12.9s | Train: skip eval | Valid: time=  1.9s loss=0.822, TAw acc= 76.6% |
| Epoch 154, time= 12.8s | Train: skip eval | Valid: time=  2.2s loss=0.818, TAw acc= 76.9% | *
| Epoch 155, time= 12.9s | Train: skip eval | Valid: time=  2.1s loss=0.826, TAw acc= 76.9% |
| Epoch 156, time= 13.5s | Train: skip eval | Valid: time=  2.0s loss=0.826, TAw acc= 76.3% |
| Epoch 157, time= 12.5s | Train: skip eval | Valid: time=  1.8s loss=0.826, TAw acc= 76.7% |
| Epoch 158, time= 12.4s | Train: skip eval | Valid: time=  1.5s loss=0.822, TAw acc= 76.8% |
